gene_key,symbol,entrez_id,ensembl_gene_id,alias_symbol,prev_symbol,status,replacement_gene_keys
9606|hgnc|HGNC:30,ABCA10,10349,ENSG00000154263,EST698739,,approved,
9606|hgnc|HGNC:31,ABCA11P,79963,ENSG00000251595,EST1133530;FLJ14297,ABCA11,approved,
9606|hgnc|HGNC:14637,ABCA12,26154,ENSG00000144452,DKFZP434G232;LI2,ICR2B,approved,
9606|hgnc|HGNC:14638,ABCA13,154664,ENSG00000179869,FLJ33876;FLJ33951,,approved,
9606|hgnc|HGNC:34405,ABCA15P,400508,ENSG00000189149,FLJ41766,NCRNA00169;CRYM-AS1,approved,
9606|hgnc|HGNC:32972,ABCA17P,650655,ENSG00000238098,,,approved,
9606|hgnc|HGNC:40,ABCB1,5243,ENSG00000085563,P-gp;CD243;GP170;ABC20;p-170;PGY1,PGY1;MDR1;CLCS,approved,
9606|hgnc|HGNC:45,ABCB4,5244,ENSG00000005471,MDR2;PFIC-3;GBD1,PGY3;MDR3,approved,
9606|hgnc|HGNC:46,ABCB5,340273,ENSG00000004846,EST422562;ABCB5beta;ABCB5alpha,,approved,
9606|hgnc|HGNC:47,ABCB6,10058,ENSG00000115657,EST45597;umat;MTABC3,,approved,
9606|hgnc|HGNC:48,ABCB7,22,ENSG00000131269,EST140535;Atm1p;ASAT,ABC7,approved,
9606|hgnc|HGNC:49,ABCB8,11194,ENSG00000197150,EST328128;M-ABC1;MABC1;MITOSUR,,approved,
9606|hgnc|HGNC:50,ABCB9,23457,ENSG00000150967,EST122234,,approved,
9606|hgnc|HGNC:41,ABCB10,23456,ENSG00000135776,EST20237;M-ABC2;MTABC2,,approved,
9606|hgnc|HGNC:14114,ABCB10P1,56476,ENSG00000274099,M-ABC2;MABC2,ABCB10P;ABCB10P2,approved,
9606|hgnc|HGNC:31129,ABCB10P3,728248,ENSG00000261524,,,approved,
9606|hgnc|HGNC:31130,ABCB10P4,100132289,ENSG00000260053,,,approved,
9606|hgnc|HGNC:42,ABCB11,8647,ENSG00000073734,ABC16;SPGP;PFIC-2;PGY4,BSEP;PFIC2,approved,
9606|hgnc|HGNC:51,ABCC1,4363,ENSG00000103222,GS-X,MRP;MRP1,approved,
9606|hgnc|HGNC:53,ABCC2,1244,ENSG00000023839,DJS;MRP2;cMRP,CMOAT,approved,
9606|hgnc|HGNC:54,ABCC3,8714,ENSG00000108846,MRP3;cMOAT2;EST90757;MLP2;MOAT-D,,approved,
9606|hgnc|HGNC:55,ABCC4,10257,ENSG00000125257,MRP4;EST170205;MOAT-B;MOATB,,approved,
9606|hgnc|HGNC:56,ABCC5,10057,ENSG00000114770,MRP5;SMRP;EST277145;MOAT-C,,approved,
9606|hgnc|HGNC:40055,ABCC5-AS1,100873982,ENSG00000223882,,,approved,
9606|hgnc|HGNC:57,ABCC6,368,ENSG00000091262,MRP6;EST349056;MLP1;URG7,ARA;PXE,approved,
9606|hgnc|HGNC:33352,ABCC6P1,653190,ENSG00000256340,,,approved,
9606|hgnc|HGNC:33353,ABCC6P2,730013,ENSG00000255277,,,approved,
9606|hgnc|HGNC:59,ABCC8,6833,ENSG00000006071,HI;PHHI;SUR1;MRP8;ABC36;HHF1;TNDM2,SUR;HRINS,approved,
9606|hgnc|HGNC:60,ABCC9,10060,ENSG00000069431,SUR2;CMD1O,,approved,
9606|hgnc|HGNC:52,ABCC10,89845,ENSG00000124574,EST182763;MRP7;SIMRP7,,approved,
9606|hgnc|HGNC:14639,ABCC11,85320,ENSG00000121270,MRP8,,approved,
9606|hgnc|HGNC:14640,ABCC12,94160,ENSG00000140798,MRP9,,approved,
9606|hgnc|HGNC:16022,ABCC13,150000,ENSG00000243064,PRED6;C21orf73;ABCC13P,,approved,
9606|hgnc|HGNC:61,ABCD1,215,ENSG00000101986,AMN;ALDP;adrenoleukodystrophy,ALD,approved,
9606|hgnc|HGNC:62,ABCD1P1,23785,,,,approved,
9606|hgnc|HGNC:63,ABCD1P2,26983,ENSG00000215151,bA453N3.6,,approved,
9606|hgnc|HGNC:64,ABCD1P3,26982,ENSG00000261233,,,approved,
9606|hgnc|HGNC:65,ABCD1P4,26957,ENSG00000225293,,,approved,
9606|hgnc|HGNC:42662,ABCD1P5,642762,ENSG00000214330,,,approved,
9606|hgnc|HGNC:66,ABCD2,225,ENSG00000173208,ALDR;ALDRP,ALDL1,approved,
9606|hgnc|HGNC:67,ABCD3,5825,ENSG00000117528,PMP70;ZWS2,PXMP1,approved,
9606|hgnc|HGNC:68,ABCD4,5826,ENSG00000119688,PMP69;P70R;EST352188,PXMP1L,approved,
